"Orden de Satélite","Num OS","Estado","Satélite Procesos","Valor Unitario","Cantidad","Producto","SubTotal","Orden de Produccion","Proveedor","Orden Satélite PDF","Fecha Entrega a Satélite","Fecha Promesa a Molt","Ficha Técnica Producto","Orden de Producción Det","Creado por","Cliente","Id.","Costeo","Costeos Detalles"
"OS-0021759-6639-15-Chaqueta  Acolchada",21759,"En Proceso","Confección",18000.0,80,"Chaqueta  Acolchada",1440000.0,"OP-TALMA COLOMBIA 0006639","JUSELY GERLYN RUEDA VALENCIA - LEO CHAQUETAS","","20/04/2026","06/05/2026","","6639-15-Chaqueta  Acolchada","Cristian Esguerra","TALMA COLOMBIA","83562108","COS-0012699 (Costeo)",""
"OS-0021758-6639-15-Chaqueta  Acolchada",21758,"En Proceso","Confección",18000.0,640,"Chaqueta  Acolchada",1.152E7,"OP-TALMA COLOMBIA 0006639","JULIAN ORTIZ VERA","","20/04/2026","06/05/2026","","6639-15-Chaqueta  Acolchada","Cristian Esguerra","TALMA COLOMBIA","83561997","COS-0012699 (Costeo)",""
"OS-0021757-6639-15-Chaqueta  Acolchada",21757,"En Proceso","Confección",20000.0,55,"Chaqueta  Acolchada",1100000.0,"OP-TALMA COLOMBIA 0006639","ALBA LUZ CORTES URREA","","20/04/2026","04/05/2026","","6639-15-Chaqueta  Acolchada","Cristian Esguerra","TALMA COLOMBIA","83561808","COS-0012699 (Costeo)",""
"OS-0021756-6639-15-Chaqueta  Acolchada",21756,"En Proceso","Confección",18000.0,320,"Chaqueta  Acolchada",5760000.0,"OP-TALMA COLOMBIA 0006639","JAINER  ESTEVAN RIAÑO REMIGIO","","20/04/2026","08/05/2026","","6639-15-Chaqueta  Acolchada","Cristian Esguerra","TALMA COLOMBIA","83561713","COS-0012699 (Costeo)",""
"OS-0021755-6654-4-Conjunto antifluido",21755,"En Proceso","Confección",15000.0,2,"Conjunto antifluido",30000.0,"OP-Clínica  Palermo 0006654","RITA PATRICIA ALARCON PEÑA","","20/04/2026","04/05/2026","UNIFORME ANTIFLUIDO CAMILLERO DAMA.pdf","6654-4-Conjunto antifluido","Cristian Esguerra","Clínica  Palermo","83561155","COS-0012756 (Costeo)",""
"OS-0021754-6654-3-Conjunto antifluido",21754,"Creado","Confección",15000.0,22,"Conjunto antifluido",330000.0,"OP-Clínica  Palermo 0006654","RITA PATRICIA ALARCON PEÑA","","20/04/2026","04/05/2026","UNIFORME ANTIFLUIDO CAMILLERO HOMBRE.pdf","6654-3-Conjunto antifluido","Cristian Esguerra","Clínica  Palermo","83561127","COS-0012756 (Costeo)",""
"OS-0021753-6694-19-PANTALON RESORTADO CABALLERO",21753,"En Proceso","Confección",5500.0,115,"PANTALON RESORTADO CABALLERO",632500.0,"OP-NUTRESA 0006694","MC COMPANY SAS - EDWIN TORRES","","27/04/2026","06/05/2026","208105 FT. PANTALÓN DRIL BLANCO LÍDER COCINA AUXILIAR LEÑOS Y CARBÓN GRUPO ACO DAMA (3).pdf","6694-19-PANTALON RESORTADO CABALLERO","Cristian Esguerra","NUTRESA","83558695","COS-0012871 (Costeo)",""
"OS-0021752-6694-20-PANTALON RESORTADO CABALLERO",21752,"En Proceso","Confección",5500.0,90,"PANTALON RESORTADO CABALLERO",495000.0,"OP-NUTRESA 0006694","MC COMPANY SAS - EDWIN TORRES","","20/04/2026","06/05/2026","108108 FT. PANTALÓN DRIL BLANCO LÍDER COCINA AUXILIAR LEÑOS Y CARBÓN GRUPO ACO HOMBRE (2).pdf","6694-20-PANTALON RESORTADO CABALLERO","Cristian Esguerra","NUTRESA","83558616","COS-0012871 (Costeo)",""
"OS-0021751-6639-14-Chaqueta  Acolchada",21751,"En Proceso","Confección",15000.0,792,"Chaqueta  Acolchada",1.188E7,"OP-TALMA COLOMBIA 0006639","DUVIS ELENA CUBILLLOS NIETO","","17/04/2026","06/05/2026","","6639-14-Chaqueta  Acolchada","Cristian Esguerra","TALMA COLOMBIA","83544193","COS-0012699 (Costeo)",""
"OS-0021750-6690-1-CAMISA MANGA LARGA",21750,"Creado","Bordado",5600.0,5,"CAMISA MANGA LARGA",28000.0,"OP-Grupo A 0006690","GRUPO EMPRESARIAL AGROTEX  IN SAS - GERSON","","17/04/2026","21/04/2026","102217 FT. CAMISA BLANCO MANGA LARGA MOTOS GRUPO A HOMBRE.pdf","6690-1-CAMISA MANGA LARGA","Cristian Esguerra","Grupo A","83543479","COS-0012868 (Costeo)",""
"OS-0021749-6581-7-BATA CHEF",21749,"En Proceso","Bordado",3900.0,2,"BATA CHEF",7800.0,"OP-NUTRESA 0006581","GRUPO EMPRESARIAL AGROTEX  IN SAS - GERSON","","17/04/2026","21/04/2026","207036 FT. BATA CHEF MATERNA MANGA CORTA EMBONE AZUL JEFE COCINA AUXILIAR CORRAL GOURMET GRUPO ACO DAMA.pdf","6581-7-BATA CHEF","Cristian Esguerra","NUTRESA","83540734","COS-0012572 (Costeo)",""
"OS-0021748-6694-15-Gorra seis cascos",21748,"En Proceso","Bordado",1850.0,72,"Gorra seis cascos",133200.0,"OP-NUTRESA 0006694","GRUPO EMPRESARIAL AGROTEX  IN SAS - GERSON","","17/04/2026","21/04/2026","310075 FT. GORRA CAFE NARANJA ADMINISTRADOR LEÑOS Y CARBÓN GRUPO ACO UNISEX.pdf","6694-15-Gorra seis cascos","Cristian Esguerra","NUTRESA","83534863","COS-0012871 (Costeo)",""
"OS-0021747-6648-1-HODDIE CERRADO",21747,"En Proceso","Estampado",1500.0,20,"HODDIE CERRADO",30000.0,"OP-BANCO DE LA REPUBLICA - NIT 860.005.216-7 0006648","DORA NANCY HERRERA MARTINEZ","","17/04/2026","20/04/2026","104156 - 204050 FT. HOODIE CRUDO BANCO DE LA REPUBLICA.pdf","6648-1-HODDIE CERRADO","Cristian Esguerra","BANCO DE LA REPUBLICA - NIT 860.005.216-7","83526662","COS-0012742 (Costeo)",""
"OS-0021746-6692-1-CAMISA MANGA LARGA",21746,"En Proceso","Bordado",1000.0,206,"CAMISA MANGA LARGA",206000.0,"OP-CLARO COLOMBIA 0006692","CARLOS ANDRES PEREZ CELIS","","17/04/2026","21/04/2026","202121 FT. BLUSA BLANCO MANGA LARGA CAVS CLARO DAMA.pdf","6692-1-CAMISA MANGA LARGA","Cristian Esguerra","CLARO COLOMBIA","83489954","COS-0012869 (Costeo)",""
"OS-0021745-6694-14-DELANTAL TIPO PETO",21745,"En Proceso","Confección",3000.0,15,"DELANTAL TIPO PETO",45000.0,"OP-NUTRESA 0006694","CLAUDIA PATRICIA MORENO BENITEZ","","17/04/2026","22/04/2026","109027 FT. DELANTAL MICO BLANCO LÍDER PARILLA AUXILIAR LEÑOS Y CARBÓN GRUPO ACO UNISEX (3).pdf","6694-14-DELANTAL TIPO PETO","Cristian Esguerra","NUTRESA","83489760","COS-0012871 (Costeo)",""
"OS-0021744-6694-10-BLUSA MANGA CORTA",21744,"En Proceso","Bordado",1250.0,70,"BLUSA MANGA CORTA",87500.0,"OP-NUTRESA 0006694","GRUPO EMPRESARIAL AGROTEX  IN SAS - GERSON","","17/04/2026","21/04/2026","202172 FT. BLUSA MANGA CORTA BLANCO AUXILIAR COCINA PLANCHERO LEÑOS Y CARBÓN GRUPO ACO DAMA (3).pdf","6694-10-BLUSA MANGA CORTA","Cristian Esguerra","NUTRESA","83488491","COS-0012871 (Costeo)",""
"OS-0021743-6694-5-CAMISA MANGA CORTA",21743,"En Proceso","Bordado",1250.0,50,"CAMISA MANGA CORTA",62500.0,"OP-NUTRESA 0006694","GRUPO EMPRESARIAL AGROTEX  IN SAS - GERSON","","17/04/2026","21/04/2026","102156 FT. CAMISA MANGA CORTA BLANCO AUX COCINA PLANCHERO LEÑOS Y CARBÓN GRUPO ACO HOMBRE.pdf","6694-5-CAMISA MANGA CORTA","Cristian Esguerra","NUTRESA","83488473","COS-0012871 (Costeo)",""
"OS-0021742-6682-4-Pañoleta",21742,"En Proceso","Confección",1500.0,300,"Pañoleta",450000.0,"OP-TALMA COLOMBIA 0006682","CLAUDIA PATRICIA MORENO BENITEZ","","17/04/2026","20/04/2026","","6682-4-Pañoleta","Cristian Esguerra","TALMA COLOMBIA","83482275","COS-0012837 (Costeo)",""
"OS-0021741-6620-19-CAMISA MANGA LARGA",21741,"En Proceso","Bordado",10300.0,20,"CAMISA MANGA LARGA",206000.0,"OP-OMNITEMPUS 0006620","CONFECCIONES DOTAJAVEL EMPRESA UNIPERSONAL","","16/04/2026","20/04/2026","202241 FT. BLUSA MANGA LARGA SEGURIDAD OMNITEMPUS_compressed (1).pdf","6620-19-CAMISA MANGA LARGA","Cristian Esguerra","OMNITEMPUS","83475478","COS-0012649 (Costeo)",""
"OS-0021740-6625-6-Overol Tipo Piloto",21740,"En Proceso","Bordado",4000.0,3,"Overol Tipo Piloto",12000.0,"OP-ALBATEQ 0006625","GRUPO EMPRESARIAL AGROTEX  IN SAS - GERSON","","16/04/2026","17/04/2026","111042 FT. OVEROL ENTERIZO GRIS ROJO PILOTO BRIGADISTA ALBATEQ..pdf","6625-6-Overol Tipo Piloto","Cristian Esguerra","ALBATEQ","83474743","COS-0012675 (Costeo)",""
"OS-0021739-6653-18-Camibuso Polo Manga Larga",21739,"Creado","Bordado",1200.0,105,"Camibuso Polo Manga Larga",126000.0,"OP-AECSA 0006653","","","16/04/2026","17/04/2026","203211 FT. POLO NEGRO MANGA LARGA AECSA DAMA.pdf","6653-18-Camibuso Polo Manga Larga","Cristian Esguerra","AECSA","83473751","COS-0012765 (Costeo)",""
"OS-0021738-6653-18-Camibuso Polo Manga Larga",21738,"En Proceso","Bordado",1200.0,25,"Camibuso Polo Manga Larga",30000.0,"OP-AECSA 0006653","SEIIBA  SAS","","16/04/2026","20/04/2026","203211 FT. POLO NEGRO MANGA LARGA AECSA DAMA.pdf","6653-18-Camibuso Polo Manga Larga","Cristian Esguerra","AECSA","83473609","COS-0012765 (Costeo)",""
"OS-0021737-6653-17-Camibuso Polo Manga Larga",21737,"Creado","Bordado",1200.0,40,"Camibuso Polo Manga Larga",48000.0,"OP-AECSA 0006653","","","16/04/2026","17/04/2026","103274 FT. POLO NEGRO MANGA LARGA AECSA HOMBRE.pdf","6653-17-Camibuso Polo Manga Larga","Cristian Esguerra","AECSA","83473124","COS-0012765 (Costeo)",""
"OS-0021736-6653-17-Camibuso Polo Manga Larga",21736,"En Proceso","Bordado",1200.0,20,"Camibuso Polo Manga Larga",24000.0,"OP-AECSA 0006653","SEIIBA  SAS","","16/04/2026","20/04/2026","103274 FT. POLO NEGRO MANGA LARGA AECSA HOMBRE.pdf","6653-17-Camibuso Polo Manga Larga","Cristian Esguerra","AECSA","83472734","COS-0012765 (Costeo)",""
"OS-0021735-6653-8-Camibuso Polo Manga Larga",21735,"En Proceso","Bordado",1200.0,93,"Camibuso Polo Manga Larga",111600.0,"OP-AECSA 0006653","SEIIBA  SAS","","16/04/2026","20/04/2026","203208 FT. POLO AZUL REY MANGA LARGA AECSA DAMA.pdf","6653-8-Camibuso Polo Manga Larga","Cristian Esguerra","AECSA","83472673","COS-0012765 (Costeo)",""
"OS-0021734-6653-3-Camibuso Polo Manga Larga",21734,"En Proceso","Bordado",1200.0,62,"Camibuso Polo Manga Larga",74400.0,"OP-AECSA 0006653","SEIIBA  SAS","","16/04/2026","20/04/2026","103271 FT. POLO AZUL REY MANGA LARGA AECSA HOMBRE.pdf","6653-3-Camibuso Polo Manga Larga","Cristian Esguerra","AECSA","83472413","COS-0012765 (Costeo)",""
"OS-0021733-6653-9-Camibuso Polo Manga Larga",21733,"En Proceso","Bordado",1200.0,55,"Camibuso Polo Manga Larga",66000.0,"OP-AECSA 0006653","SEIIBA  SAS","","16/04/2026","20/04/2026","203210 FT. POLO AMARILLO MANGA LARGA AECSA DAMA.pdf","6653-9-Camibuso Polo Manga Larga","Cristian Esguerra","AECSA","83469612","COS-0012765 (Costeo)",""
"OS-0021732-6653-4-Camibuso Polo Manga Larga",21732,"En Proceso","Bordado",1200.0,70,"Camibuso Polo Manga Larga",84000.0,"OP-AECSA 0006653","SEIIBA  SAS","","16/04/2026","20/04/2026","103273 FT. POLO AMARILLO MANGA LARGA AECSA HOMBRE.pdf","6653-4-Camibuso Polo Manga Larga","Cristian Esguerra","AECSA","83469399","COS-0012765 (Costeo)",""
"OS-0021731-6639-7-Camibuso Polo Manga Larga",21731,"Creado","Estampado",2200.0,1092,"Camibuso Polo Manga Larga",2402400.0,"OP-TALMA COLOMBIA 0006639","","","16/04/2026","17/04/2026","","6639-7-Camibuso Polo Manga Larga","Cristian Esguerra","TALMA COLOMBIA","83466654","COS-0012699 (Costeo)",""
"OS-0021730-6579-11-BATA CHEF",21730,"En Proceso","Confección",9000.0,22,"BATA CHEF",198000.0,"OP-NUTRESA 0006579","GLORIA LOZANO","","16/04/2026","21/04/2026","107045 FT. BATA CHEF MANGA TRES CUARTOS EMBONE NEGRO PARRILLERO LEÑOS Y CARBÓN GRUPO ACO HOMBRE.pdf","6579-11-BATA CHEF","Cristian Esguerra","NUTRESA","83464270","COS-0012561 (Costeo)",""
"OS-0021729-6639-24-pantalón  overol",21729,"Creado","Confección",9000.0,150,"pantalón  overol",1350000.0,"OP-TALMA COLOMBIA 0006639","","","16/04/2026","17/04/2026","","6639-24-pantalón  overol","Cristian Esguerra","TALMA COLOMBIA","83461996","COS-0012699 (Costeo)",""
"OS-0021728-6653-10-Camibuso Polo Manga Larga",21728,"Finalizado","Bordado",1200.0,40,"Camibuso Polo Manga Larga",48000.0,"OP-AECSA 0006653","SEIIBA  SAS","","16/04/2026","20/04/2026","203191 FT. POLO NARANJA MANGA LARGA AECSA DAMA.pdf","6653-10-Camibuso Polo Manga Larga","Cristian Esguerra","AECSA","83459540","COS-0012765 (Costeo)",""
"OS-0021727-6653-5-Camibuso Polo Manga Larga",21727,"En Proceso","Bordado",1200.0,90,"Camibuso Polo Manga Larga",108000.0,"OP-AECSA 0006653","SEIIBA  SAS","","16/04/2026","20/04/2026","103247 FT. POLO NARANJA MANGA LARGA AECSA HOMBRE.pdf","6653-5-Camibuso Polo Manga Larga","Cristian Esguerra","AECSA","83459283","COS-0012765 (Costeo)",""
